,reaction_id,rxn_smiles,solvent,temp,G_act,G_r
10,10,[CH3:7][C-:8]([CH3:9])[N+:10]#[N:11].[NH2:1][C:2]([NH2:3])=[C:4]([F:5])[F:6]>>[NH2:1][C:2]1([NH2:3])[C:4]([F:5])([F:6])[N:11]=[N:10][C:8]1([CH3:7])[CH3:9],water,298.15,29.635143887985148,-23.6582963119407
11,11,[CH3:7][C-:8]([CH3:9])[N+:10]#[N:11].[NH2:1][C:2]([NH2:3])=[C:4]([F:5])[F:6]>>[NH2:1][C:2]1([NH2:3])[C:4]([F:5])([F:6])[C:8]([CH3:7])([CH3:9])[N:10]=[N:11]1,water,298.15,24.623664423481983,-26.580247304615547
12,14,[CH2:1]=[C:2]([CH3:3])[CH3:4].[CH3:5][C-:6]([C:7]#[N:8])[N+:9]#[C:10][C:11]#[N:12]>>[CH2:1]1[C:2]([CH3:3])([CH3:4])[C:10]([C:11]#[N:12])=[N:9][C:6]1([CH3:5])[C:7]#[N:8],water,298.15,12.64109830327559,-53.81257311280752
13,15,[CH2:1]=[C:2]([CH3:3])[CH3:4].[CH3:5][C-:6]([C:7]#[N:8])[N+:9]#[C:10][C:11]#[N:12]>>[CH2:1]1[C:2]([CH3:3])([CH3:4])[C:6]([CH3:5])([C:7]#[N:8])[N:9]=[C:10]1[C:11]#[N:12],water,298.15,13.60400480136947,-51.008126396719845
14,16,[CH3:4][O:5][C:6](=[O:7])[N-:8][NH+:9]=[C:10]([CH3:11])[C:12]#[N:13].[CH:1]#[C:2][CH3:3]>>[CH:1]1=[C:2]([CH3:3])[C:10]([CH3:11])([C:12]#[N:13])[NH:9][N:8]1[C:6]([O:5][CH3:4])=[O:7],water,298.15,30.62815208822521,-29.20061565813949
15,17,[CH3:4][O:5][C:6](=[O:7])[N-:8][NH+:9]=[C:10]([CH3:11])[C:12]#[N:13].[CH:1]#[C:2][CH3:3]>>[CH:1]1=[C:2]([CH3:3])[N:8]([C:6]([O:5][CH3:4])=[O:7])[NH:9][C:10]1([CH3:11])[C:12]#[N:13],water,298.15,28.00492232739628,-29.65774328412572
16,18,[CH3:1][C:2]#[C:3][F:4].[CH3:5][C:6](=[O:7])[CH:8]=[O+:9][CH-:10][C:11]([CH3:12])=[O:13]>>[CH3:1][C:2]1=[C:3]([F:4])[CH:10]([C:11]([CH3:12])=[O:13])[O:9][CH:8]1[C:6]([CH3:5])=[O:7],water,298.15,10.309805052881153,-79.30217018854783
17,19,[CH2:10]=[NH+:11][CH-:12][CH3:13].[F:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[F:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]3[CH:7]([CH:8]1[O:9]2)[CH:12]([CH3:13])[NH:11][CH2:10]3,water,298.15,7.232637013445219,-62.11866789247833
18,20,[CH2:10]=[NH+:11][CH-:12][CH3:13].[F:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[F:1][C:2]12[C:3]([F:4])([CH:5]3[CH:6]=[CH:7][CH:8]1[O:9]3)[CH:12]([CH3:13])[NH:11][CH2:10]2,water,298.15,6.576977403964178,-74.9917929224304
19,21,[CH3:1][C:2]#[C:3][CH3:4].[CH3:5][C:6]([C:7]#[N:8])=[NH+:9][C-:10]([C:11]#[N:12])[C:13]#[N:14]>>[CH3:1][C:2]1=[C:3]([CH3:4])[C:10]([C:11]#[N:12])([C:13]#[N:14])[NH:9][C:6]1([CH3:5])[C:7]#[N:8],water,298.15,24.57629219079841,-33.71692128305999
20,23,[CH3:10][CH:11]=[N+:12]([CH3:13])[NH-:14].[CH3:1][C:2]([C:3]#[N:4])=[C:5]([C:6]#[N:7])[C:8]#[N:9]>>[CH3:1][C:2]1([C:3]#[N:4])[C:5]([C:6]#[N:7])([C:8]#[N:9])[NH:14][N:12]([CH3:13])[CH:11]1[CH3:10],water,298.15,2.0500257957519707,-10.768762133499994
21,25,[CH3:8][N-:9][N+:10]#[C:11][C:12]([CH3:13])=[O:14].[CH:1]1=[CH:2][CH:3]2[CH:4]=[CH:5][CH:6]1[O:7]2>>[CH:1]1=[CH:2][CH:3]2[CH:4]3[CH:5]([CH:6]1[O:7]2)[N:9]([CH3:8])[N:10]=[C:11]3[C:12]([CH3:13])=[O:14],water,298.15,13.976855666416348,-63.6243726193179
22,26,[CH3:7][C:8](=[O:9])[N-:10][O+:11]=[N:12][C:13]#[N:14].[CH:1]#[C:2][C:3](=[O:4])[O:5][CH3:6]>>[CH:1]1=[C:2]([C:3](=[O:4])[O:5][CH3:6])[N:10]([C:8]([CH3:7])=[O:9])[O:11][N:12]1[C:13]#[N:14],water,298.15,5.025011958494998,-70.4820678722588
23,27,[CH3:7][C:8](=[O:9])[N-:10][O+:11]=[N:12][C:13]#[N:14].[CH:1]#[C:2][C:3](=[O:4])[O:5][CH3:6]>>[CH:1]1=[C:2]([C:3](=[O:4])[O:5][CH3:6])[N:12]([C:13]#[N:14])[O:11][N:10]1[C:8]([CH3:7])=[O:9],water,298.15,4.448203779343317,-73.53875204970079
24,28,[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][NH2:7].[CH3:8][CH-:9][O+:10]=[C:11]([CH3:12])[C:13]#[N:14]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([NH2:7])[CH:9]([CH3:8])[O:10][C:11]1([CH3:12])[C:13]#[N:14],water,298.15,12.982495655917331,-80.23954919832119
25,29,[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][NH2:7].[CH3:8][CH-:9][O+:10]=[C:11]([CH3:12])[C:13]#[N:14]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([NH2:7])[C:11]([CH3:12])([C:13]#[N:14])[O:10][CH:9]1[CH3:8],water,298.15,9.212779409583456,-81.2295495032299
26,30,[CH:1]1=[CH:2][CH:3]2[CH2:4][CH2:5][CH:6]1[CH2:7]2.[CH:8]#[N+:9][CH-:10][C:11](=[O:12])[O:13][CH3:14]>>[CH:1]12[CH:2]([CH:3]3[CH2:4][CH2:5][CH:6]1[CH2:7]3)[CH:10]([C:11](=[O:12])[O:13][CH3:14])[N:9]=[CH:8]2,water,298.15,12.68209899042414,-57.15726897981459
27,31,[CH3:1]/[C:2]([F:3])=[C:4](\[CH3:5])[F:6].[CH3:7][C:8](=[O:9])[N-:10][N+:11]#[C:12][C:13]#[N:14]>>[CH3:1][C@@:2]1([F:3])[C@:4]([CH3:5])([F:6])[N:10]([C:8]([CH3:7])=[O:9])[N:11]=[C:12]1[C:13]#[N:14],water,298.15,21.010449656942672,-48.10733943574076
28,32,[CH3:6][O:7][C:8](=[O:9])[N-:10][O+:11]=[C:12]([CH3:13])[CH3:14].[CH:1]#[C:2][C:3]([CH3:4])=[O:5]>>[CH:1]1=[C:2]([C:3]([CH3:4])=[O:5])[N:10]([C:8]([O:7][CH3:6])=[O:9])[O:11][C:12]1([CH3:13])[CH3:14],water,298.15,20.107811511183016,-44.308526336390486
29,33,[CH3:6][O:7][C:8](=[O:9])[N-:10][O+:11]=[C:12]([CH3:13])[CH3:14].[CH:1]#[C:2][C:3]([CH3:4])=[O:5]>>[CH:1]1=[C:2]([C:3]([CH3:4])=[O:5])[C:12]([CH3:13])([CH3:14])[O:11][N:10]1[C:8]([O:7][CH3:6])=[O:9],water,298.15,17.993879536742703,-51.23074632394841
30,34,[CH3:1][O:2][C:3](=[O:4])[C:5]#[C:6][F:7].[CH3:8][C:9]#[N+:10][C-:11]([C:12]#[N:13])[C:14]#[N:15]>>[CH3:1][O:2][C:3](=[O:4])[C:5]1=[C:6]([F:7])[C:9]([CH3:8])=[N:10][C:11]1([C:12]#[N:13])[C:14]#[N:15],water,298.15,17.918043329459735,-65.23115469978869
31,35,[CH3:1][O:2][C:3](=[O:4])[C:5]#[C:6][F:7].[CH3:8][C:9]#[N+:10][C-:11]([C:12]#[N:13])[C:14]#[N:15]>>[CH3:1][O:2][C:3](=[O:4])[C:5]1=[C:6]([F:7])[C:11]([C:12]#[N:13])([C:14]#[N:15])[N:10]=[C:9]1[CH3:8],water,298.15,17.645399883593914,-61.24718462527266
32,36,[CH3:10][C:11]([CH3:12])=[O+:13][NH-:14].[CH3:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[CH3:1][C:2]12[C:3]([F:4])([CH:5]3[CH:6]=[CH:7][CH:8]1[O:9]3)[NH:14][O:13][C:11]2([CH3:10])[CH3:12],water,298.15,12.396244470703609,-55.21458727227736
33,37,[CH3:10][C:11]([CH3:12])=[O+:13][NH-:14].[CH3:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[CH3:1][C:2]12[C:3]([F:4])([CH:5]3[CH:6]=[CH:7][CH:8]1[O:9]3)[C:11]([CH3:10])([CH3:12])[O:13][NH:14]2,water,298.15,13.035463990655396,-54.92803846375578
34,38,[CH3:10][C:11]([CH3:12])=[O+:13][NH-:14].[CH3:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[CH3:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]3[CH:7]([CH:8]1[O:9]2)[C:11]([CH3:10])([CH3:12])[O:13][NH:14]3,water,298.15,11.427268394409834,-56.47809609143014
35,39,[CH3:10][C:11]([CH3:12])=[O+:13][NH-:14].[CH3:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[CH3:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]3[CH:7]([CH:8]1[O:9]2)[NH:14][O:13][C:11]3([CH3:10])[CH3:12],water,298.15,15.219124659720332,-58.37910189129951
36,40,[CH2-:4][NH+:5]=[C:6]([C:7](=[O:8])[NH:9][CH3:10])[C:11](=[O:12])[NH:13][CH3:14].[CH:1]#[C:2][NH2:3]>>[CH:1]1=[C:2]([NH2:3])[C:6]([C:7](=[O:8])[NH:9][CH3:10])([C:11](=[O:12])[NH:13][CH3:14])[NH:5][CH2:4]1,water,298.15,14.36072944242623,-48.8846873549978
37,41,[CH2-:4][NH+:5]=[C:6]([C:7](=[O:8])[NH:9][CH3:10])[C:11](=[O:12])[NH:13][CH3:14].[CH:1]#[C:2][NH2:3]>>[CH:1]1=[C:2]([NH2:3])[CH2:4][NH:5][C:6]1([C:7](=[O:8])[NH:9][CH3:10])[C:11](=[O:12])[NH:13][CH3:14],water,298.15,14.630745277015984,-55.70834722140984
38,42,[CH3:1][C:2]#[C:3][C:4]([F:5])([F:6])[F:7].[CH3:8][c-:9]1[o+:10][n:11][o:12][c:13]1=[O:14]>>[CH3:1][C:2]1=[C:3]([C:4]([F:5])([F:6])[F:7])[C:9]2([CH3:8])[O:10][N:11]1[O:12][C:13]2=[O:14],water,298.15,20.551995826465863,-27.211327890893727
39,46,[N:1]#[C:2][C:3]#[C:4][NH2:5].[N:6]#[C:7][CH-:8][N+:9]#[C:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[N:1]#[C:2][C:3]1=[C:4]([NH2:5])[CH:8]([C:7]#[N:6])[N:9]=[C:10]1[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,water,298.15,15.713349182890257,-72.07285150556177
40,47,[N:1]#[C:2][C:3]#[C:4][NH2:5].[N:6]#[C:7][CH-:8][N+:9]#[C:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[N:1]#[C:2][C:3]1=[C:4]([NH2:5])[C:10]([c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)=[N:9][CH:8]1[C:7]#[N:6],water,298.15,16.029807752881517,-68.25632333721158
41,49,[CH3:5][NH:6][C:7](=[O:8])[C:9]#[N+:10][C-:11]([CH3:12])[C:13]#[N:14].[NH2:1][C:2]#[C:3][Cl:4]>>[NH2:1][C:2]1=[C:3]([Cl:4])[C:11]([CH3:12])([C:13]#[N:14])[N:10]=[C:9]1[C:7]([NH:6][CH3:5])=[O:8],water,298.15,18.71052914387171,-80.95214820885647
42,50,[CH2-:8][O+:9]=[C:10]([C:11]#[N:12])[C:13]([CH3:14])=[O:15].[CH3:1][C:2]#[C:3][C:4](=[O:5])[O:6][CH3:7]>>[CH3:1][C:2]1=[C:3]([C:4](=[O:5])[O:6][CH3:7])[CH2:8][O:9][C:10]1([C:11]#[N:12])[C:13]([CH3:14])=[O:15],water,298.15,9.208923690716231,-63.09711675674947
43,51,[CH2-:8][O+:9]=[C:10]([C:11]#[N:12])[C:13]([CH3:14])=[O:15].[CH3:1][C:2]#[C:3][C:4](=[O:5])[O:6][CH3:7]>>[CH3:1][C:2]1=[C:3]([C:4](=[O:5])[O:6][CH3:7])[C:10]([C:11]#[N:12])([C:13]([CH3:14])=[O:15])[O:9][CH2:8]1,water,298.15,11.961887515175064,-62.064401186310704
44,52,[CH3:7][CH:8]=[NH+:9][N-:10][C:11](=[O:12])[NH:13][CH3:14].[NH2:1][C:2]([NH2:3])=[C:4]([F:5])[F:6]>>[NH2:1][C:2]1([NH2:3])[C:4]([F:5])([F:6])[N:10]([C:11](=[O:12])[NH:13][CH3:14])[NH:9][CH:8]1[CH3:7],water,298.15,31.60970734301593,-22.717505384896256
45,53,[CH3:7][CH:8]=[NH+:9][N-:10][C:11](=[O:12])[NH:13][CH3:14].[NH2:1][C:2]([NH2:3])=[C:4]([F:5])[F:6]>>[NH2:1][C:2]1([NH2:3])[C:4]([F:5])([F:6])[CH:8]([CH3:7])[NH:9][N:10]1[C:11](=[O:12])[NH:13][CH3:14],water,298.15,17.885054323246088,-22.02327366357551
46,54,[CH3:10][C:11](=[O:12])[C:13]#[N+:14][O-:15].[CH3:1][C:2]1=[C:3]([NH2:4])[CH:5]2[CH2:6][CH2:7][CH:8]1[CH2:9]2>>[CH3:1][C:2]12[C:3]([NH2:4])([CH:5]3[CH2:6][CH2:7][CH:8]1[CH2:9]3)[O:15][N:14]=[C:13]2[C:11]([CH3:10])=[O:12],water,298.15,11.875463145605403,-37.044566820947885
47,55,[CH3:10][C:11](=[O:12])[C:13]#[N+:14][O-:15].[CH3:1][C:2]1=[C:3]([NH2:4])[CH:5]2[CH2:6][CH2:7][CH:8]1[CH2:9]2>>[CH3:1][C:2]12[C:3]([NH2:4])([CH:5]3[CH2:6][CH2:7][CH:8]1[CH2:9]3)[C:13]([C:11]([CH3:10])=[O:12])=[N:14][O:15]2,water,298.15,25.503559657223786,-33.176243966394246
48,56,[CH3:1][C:2]#[C:3][F:4].[CH3:5][O:6][C:7](=[O:8])[C-:9]([C:10]#[N:11])[O+:12]=[C:13]([CH3:14])[CH3:15]>>[CH3:1][C:2]1=[C:3]([F:4])[C:9]([C:7]([O:6][CH3:5])=[O:8])([C:10]#[N:11])[O:12][C:13]1([CH3:14])[CH3:15],water,298.15,18.61321221506857,-67.86489336072087
49,57,[CH3:1][C:2]#[C:3][F:4].[CH3:5][O:6][C:7](=[O:8])[C-:9]([C:10]#[N:11])[O+:12]=[C:13]([CH3:14])[CH3:15]>>[CH3:1][C:2]1=[C:3]([F:4])[C:13]([CH3:14])([CH3:15])[O:12][C:9]1([C:7]([O:6][CH3:5])=[O:8])[C:10]#[N:11],water,298.15,16.913625028245864,-69.25533451681208
50,58,[CH3:10][C:11](=[O:12])[N:13]=[NH+:14][O-:15].[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][C:7]([CH3:8])=[O:9]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([C:7]([CH3:8])=[O:9])[N:13]([C:11]([CH3:10])=[O:12])[NH:14][O:15]1,water,298.15,30.5271359177615,-23.511089891644364
51,59,[CH3:10][C:11](=[O:12])[N:13]=[NH+:14][O-:15].[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][C:7]([CH3:8])=[O:9]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([C:7]([CH3:8])=[O:9])[O:15][NH:14][N:13]1[C:11]([CH3:10])=[O:12],water,298.15,31.101971678928237,-24.04172169829284
52,60,[CH3:9][CH:10]=[O+:11][CH-:12][C:13]([CH3:14])=[O:15].[F:1][C:2]1=[CH:3][CH:4]2[CH:5]=[CH:6][CH:7]1[O:8]2>>[F:1][C:2]1=[CH:3][CH:4]2[CH:5]3[CH:6]([CH:7]1[O:8]2)[CH:12]([C:13]([CH3:14])=[O:15])[O:11][CH:10]3[CH3:9],water,298.15,10.13107110766101,-63.72584795599446
53,61,[CH3:9][CH:10]=[O+:11][CH-:12][C:13]([CH3:14])=[O:15].[F:1][C:2]1=[CH:3][CH:4]2[CH:5]=[CH:6][CH:7]1[O:8]2>>[F:1][C:2]1=[CH:3][CH:4]2[CH:5]3[CH:6]([CH:7]1[O:8]2)[CH:10]([CH3:9])[O:11][CH:12]3[C:13]([CH3:14])=[O:15],water,298.15,18.52812570730289,-64.26613723377989
54,62,[CH3:9][CH:10]=[O+:11][CH-:12][C:13]([CH3:14])=[O:15].[F:1][C:2]1=[CH:3][CH:4]2[CH:5]=[CH:6][CH:7]1[O:8]2>>[F:1][C:2]12[CH:3]([CH:4]3[CH:5]=[CH:6][CH:7]1[O:8]3)[CH:10]([CH3:9])[O:11][CH:12]2[C:13]([CH3:14])=[O:15],water,298.15,7.623883620494476,-67.43400420024996
55,64,[CH3:5][C:6]([c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)=[N+:13]([CH3:14])[O-:15].[NH2:1]/[CH:2]=[CH:3]\[NH2:4]>>[NH2:1][C@@H:2]1[C@H:3]([NH2:4])[O:15][N:13]([CH3:14])[C:6]1([CH3:5])[c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1,water,298.15,31.59943267682388,1.4551077210455563
56,67,[CH:5]#[N+:6][C-:7]([C:8]([CH3:9])=[O:10])[C:11](=[O:12])[NH:13][CH3:14].[NH2:1][C:2]#[C:3][Cl:4]>>[NH2:1][C:2]1=[C:3]([Cl:4])[C:7]([C:8]([CH3:9])=[O:10])([C:11](=[O:12])[NH:13][CH3:14])[N:6]=[CH:5]1,water,298.15,17.54276877500833,-73.87138293016125
57,68,[CH:5]#[N+:6][C-:7]([C:8]([CH3:9])=[O:10])[C:11](=[O:12])[NH:13][CH3:14].[NH2:1][C:2]#[C:3][Cl:4]>>[NH2:1][C:2]1=[C:3]([Cl:4])[CH:5]=[N:6][C:7]1([C:8]([CH3:9])=[O:10])[C:11](=[O:12])[NH:13][CH3:14],water,298.15,18.827571195205365,-73.68519563799673
58,69,[CH2-:12][N+:13]#[C:14][CH3:15].[CH3:1][O:2][C:3](=[O:4])[C:5]1=[CH:6][CH:7]2[CH2:8][CH2:9][CH:10]1[CH2:11]2>>[CH3:1][O:2][C:3](=[O:4])[C:5]12[CH:6]([CH:7]3[CH2:8][CH2:9][CH:10]1[CH2:11]3)[C:14]([CH3:15])=[N:13][CH2:12]2,water,298.15,6.415957409353539,-60.43166391533752
59,70,[CH2-:12][N+:13]#[C:14][CH3:15].[CH3:1][O:2][C:3](=[O:4])[C:5]1=[CH:6][CH:7]2[CH2:8][CH2:9][CH:10]1[CH2:11]2>>[CH3:1][O:2][C:3](=[O:4])[C:5]12[CH:6]([CH:7]3[CH2:8][CH2:9][CH:10]1[CH2:11]3)[CH2:12][N:13]=[C:14]2[CH3:15],water,298.15,7.586041208705088,-58.62051556768857
60,71,[CH3:1][C:2](=[O:3])[C:4]#[C:5][NH2:6].[CH3:7][O:8][C:9](=[O:10])[C:11]#[N+:12][C-:13]([CH3:14])[CH3:15]>>[CH3:1][C:2](=[O:3])[C:4]1=[C:5]([NH2:6])[C:11]([C:9]([O:8][CH3:7])=[O:10])=[N:12][C:13]1([CH3:14])[CH3:15],water,298.15,15.91185063811518,-68.89966742504149
61,72,[CH3:1][C:2](=[O:3])[C:4]#[C:5][NH2:6].[CH3:7][O:8][C:9](=[O:10])[C:11]#[N+:12][C-:13]([CH3:14])[CH3:15]>>[CH3:1][C:2](=[O:3])[C:4]1=[C:5]([NH2:6])[C:13]([CH3:14])([CH3:15])[N:12]=[C:11]1[C:9]([O:8][CH3:7])=[O:10],water,298.15,21.41757104565988,-75.43441608391831
62,73,[CH2-:9][N+:10]#[C:11][C:12](=[O:13])[NH:14][CH3:15].[F:1][C:2]1=[CH:3][CH:4]2[CH2:5][CH2:6][CH:7]1[CH2:8]2>>[F:1][C:2]12[CH:3]([CH:4]3[CH2:5][CH2:6][CH:7]1[CH2:8]3)[C:11]([C:12](=[O:13])[NH:14][CH3:15])=[N:10][CH2:9]2,water,298.15,15.650014255362608,-65.92568266265953
63,74,[CH2-:9][N+:10]#[C:11][C:12](=[O:13])[NH:14][CH3:15].[F:1][C:2]1=[CH:3][CH:4]2[CH2:5][CH2:6][CH:7]1[CH2:8]2>>[F:1][C:2]12[CH:3]([CH:4]3[CH2:5][CH2:6][CH:7]1[CH2:8]3)[CH2:9][N:10]=[C:11]2[C:12](=[O:13])[NH:14][CH3:15],water,298.15,15.297343111329251,-62.827627948566914
64,75,[CH3:5][C:6]([C:7]#[N:8])=[NH+:9][N-:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1.[NH2:1][C:2]#[C:3][F:4]>>[NH2:1][C:2]1=[C:3]([F:4])[C:6]([CH3:5])([C:7]#[N:8])[NH:9][N:10]1[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,water,298.15,19.35724655062825,-47.39626282235346
65,76,[CH3:5][C:6]([C:7]#[N:8])=[NH+:9][N-:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1.[NH2:1][C:2]#[C:3][F:4]>>[NH2:1][C:2]1=[C:3]([F:4])[N:10]([c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[NH:9][C:6]1([CH3:5])[C:7]#[N:8],water,298.15,27.73077944609244,-49.23840278881169
66,77,[CH3:4][O:5][C:6](=[O:7])[C-:8]([CH3:9])[O+:10]=[C:11]([CH3:12])[C:13]([CH3:14])=[O:15].[CH:1]#[C:2][CH3:3]>>[CH:1]1=[C:2]([CH3:3])[C:11]([CH3:12])([C:13]([CH3:14])=[O:15])[O:10][C:8]1([C:6]([O:5][CH3:4])=[O:7])[CH3:9],water,298.15,13.28564364576996,-64.93612900094459
67,78,[CH3:4][O:5][C:6](=[O:7])[C-:8]([CH3:9])[O+:10]=[C:11]([CH3:12])[C:13]([CH3:14])=[O:15].[CH:1]#[C:2][CH3:3]>>[CH:1]1=[C:2]([CH3:3])[C:8]([C:6]([O:5][CH3:4])=[O:7])([CH3:9])[O:10][C:11]1([CH3:12])[C:13]([CH3:14])=[O:15],water,298.15,14.19479768540334,-64.44170852838518
68,81,[CH2-:4][N+:5]([CH3:6])=[C:7]([C:8]([CH3:9])=[O:10])[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1.[CH:1]#[C:2][CH3:3]>>[CH:1]1=[C:2]([CH3:3])[CH2:4][N:5]([CH3:6])[C:7]1([C:8]([CH3:9])=[O:10])[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,water,298.15,22.442453469565987,-43.86121800222416
69,82,[CH2-:4][N+:5]([CH3:6])=[C:7]([C:8]([CH3:9])=[O:10])[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1.[CH:1]#[C:2][CH3:3]>>[CH:1]1=[C:2]([CH3:3])[C:7]([C:8]([CH3:9])=[O:10])([c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[N:5]([CH3:6])[CH2:4]1,water,298.15,20.34783468522847,-43.21578096685415
70,83,[CH3:10][C:11]([CH3:12])=[N+:13]([CH3:14])[O-:15].[NH2:1][C:2]1=[C:3]([F:4])[CH:5]2[CH2:6][CH2:7][CH:8]1[CH2:9]2>>[NH2:1][C:2]12[C:3]([F:4])([CH:5]3[CH2:6][CH2:7][CH:8]1[CH2:9]3)[O:15][N:13]([CH3:14])[C:11]2([CH3:10])[CH3:12],water,298.15,38.16687316224894,-2.679972621017343
71,84,[CH3:10][C:11]([CH3:12])=[N+:13]([CH3:14])[O-:15].[NH2:1][C:2]1=[C:3]([F:4])[CH:5]2[CH2:6][CH2:7][CH:8]1[CH2:9]2>>[NH2:1][C:2]12[C:3]([F:4])([CH:5]3[CH2:6][CH2:7][CH:8]1[CH2:9]3)[C:11]([CH3:10])([CH3:12])[N:13]([CH3:14])[O:15]2,water,298.15,28.115255813377185,-6.07391159673444
