,rxn_id,rxn_smiles,solvent,temp,E_r,E_act,H_r,H_act,G_r,G_act
10,10,[CH3:7][C-:8]([CH3:9])[N+:10]#[N:11].[NH2:1][C:2]([NH2:3])=[C:4]([F:5])[F:6]>>[NH2:1][C:2]1([NH2:3])[C:4]([F:5])([F:6])[N:11]=[N:10][C:8]1([CH3:7])[CH3:9],water,298.15,-41.63881974041737,17.49787515335159,-38.40226237943309,17.855016014866592,-23.6582963119407,29.635143887985148
11,11,[CH3:7][C-:8]([CH3:9])[N+:10]#[N:11].[NH2:1][C:2]([NH2:3])=[C:4]([F:5])[F:6]>>[NH2:1][C:2]1([NH2:3])[C:4]([F:5])([F:6])[C:8]([CH3:7])([CH3:9])[N:10]=[N:11]1,water,298.15,-43.68479053521339,13.35468988504435,-40.83315542843688,13.520096109724612,-26.580247304615547,24.623664423481983
12,14,[CH2:1]=[C:2]([CH3:3])[CH3:4].[CH3:5][C-:6]([C:7]#[N:8])[N+:9]#[C:10][C:11]#[N:12]>>[CH2:1]1[C:2]([CH3:3])([CH3:4])[C:10]([C:11]#[N:12])=[N:9][C:6]1([CH3:5])[C:7]#[N:8],water,298.15,-68.7369742601027,3.6780852863240763,-64.49203945785194,4.237095478638939,-50.40919675258632,16.044474663496793
13,15,[CH2:1]=[C:2]([CH3:3])[CH3:4].[CH3:5][C-:6]([C:7]#[N:8])[N+:9]#[C:10][C:11]#[N:12]>>[CH2:1]1[C:2]([CH3:3])([CH3:4])[C:6]([CH3:5])([C:7]#[N:8])[N:9]=[C:10]1[C:11]#[N:12],water,298.15,-69.84809901076763,1.2043977588310948,-65.98833002314288,1.5388265452844399,-51.008126396719845,13.60400480136947
14,16,[CH3:4][O:5][C:6](=[O:7])[N-:8][NH+:9]=[C:10]([CH3:11])[C:12]#[N:13].[CH:1]#[C:2][CH3:3]>>[CH:1]1=[C:2]([CH3:3])[C:10]([CH3:11])([C:12]#[N:13])[NH:9][N:8]1[C:6]([O:5][CH3:4])=[O:7],water,298.15,-44.30430114604956,18.587811419043096,-40.99252629130011,19.343873194309563,-29.20061565813949,30.628152088225214
15,17,[CH3:4][O:5][C:6](=[O:7])[N-:8][NH+:9]=[C:10]([CH3:11])[C:12]#[N:13].[CH:1]#[C:2][CH3:3]>>[CH:1]1=[C:2]([CH3:3])[N:8]([C:6]([O:5][CH3:4])=[O:7])[NH:9][C:10]1([CH3:11])[C:12]#[N:13],water,298.15,-45.35080559853743,16.36546402634312,-42.244941359513135,16.541784433351182,-30.39435941411271,27.26830619740928
16,18,[CH3:1][C:2]#[C:3][F:4].[CH3:5][C:6](=[O:7])[CH:8]=[O+:9][CH-:10][C:11]([CH3:12])=[O:13]>>[CH3:1][C:2]1=[C:3]([F:4])[CH:10]([C:11]([CH3:12])=[O:13])[O:9][CH:8]1[C:6]([CH3:5])=[O:7],water,298.15,-96.52337552336083,-2.231684106159038,-93.14630445849191,-1.4736531606414458,-80.32342035757739,9.288554883851594
17,19,[CH2:10]=[NH+:11][CH-:12][CH3:13].[F:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[F:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]3[CH:7]([CH:8]1[O:9]2)[CH:12]([CH3:13])[NH:11][CH2:10]3,water,298.15,-78.30015589386639,-2.3247299559436825,-72.86082691853537,-1.1513661994011153,-58.75085379463204,10.600451111291504
18,20,[CH2:10]=[NH+:11][CH-:12][CH3:13].[F:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[F:1][C:2]12[C:3]([F:4])([CH:5]3[CH:6]=[CH:7][CH:8]1[O:9]3)[CH:12]([CH3:13])[NH:11][CH2:10]2,water,298.15,-94.60762486712179,-5.334815091849801,-90.2346700619114,-4.544521502190503,-74.9917929224304,6.576977403964178
19,21,[CH3:1][C:2]#[C:3][CH3:4].[CH3:5][C:6]([C:7]#[N:8])=[NH+:9][C-:10]([C:11]#[N:12])[C:13]#[N:14]>>[CH3:1][C:2]1=[C:3]([CH3:4])[C:10]([C:11]#[N:12])([C:13]#[N:14])[NH:9][C:6]1([CH3:5])[C:7]#[N:8],water,298.15,-50.2488496236472,11.083857972785294,-47.99566682431811,11.461220096415454,-34.125640009143595,24.16757346471481
20,23,[CH3:10][CH:11]=[N+:12]([CH3:13])[NH-:14].[CH3:1][C:2]([C:3]#[N:4])=[C:5]([C:6]#[N:7])[C:8]#[N:9]>>[CH3:1][C:2]1([C:3]#[N:4])[C:5]([C:6]#[N:7])([C:8]#[N:9])[NH:14][N:12]([CH3:13])[CH:11]1[CH3:10],water,298.15,-24.50109423708352,-8.638491202855876,-21.49098122088959,-7.127929436616998,-6.658415546238716,6.1603723830132475
21,25,[CH3:8][N-:9][N+:10]#[C:11][C:12]([CH3:13])=[O:14].[CH:1]1=[CH:2][CH:3]2[CH:4]=[CH:5][CH:6]1[O:7]2>>[CH:1]1=[CH:2][CH:3]2[CH:4]3[CH:5]([CH:6]1[O:7]2)[N:9]([CH3:8])[N:10]=[C:11]3[C:12]([CH3:13])=[O:14],water,298.15,-81.01189667045242,2.2060679144339868,-76.98728620413829,2.574819650507866,-63.6243726193179,13.976855666416347
22,26,[CH3:7][C:8](=[O:9])[N-:10][O+:11]=[N:12][C:13]#[N:14].[CH:1]#[C:2][C:3](=[O:4])[O:5][CH3:6]>>[CH:1]1=[C:2]([C:3](=[O:4])[O:5][CH3:6])[N:10]([C:8]([CH3:7])=[O:9])[O:11][N:12]1[C:13]#[N:14],water,298.15,-87.17317750771544,-8.07849233566071,-83.52201437372052,-7.168988612580258,-70.4820678722588,5.025011958494998
23,27,[CH3:7][C:8](=[O:9])[N-:10][O+:11]=[N:12][C:13]#[N:14].[CH:1]#[C:2][C:3](=[O:4])[O:5][CH3:6]>>[CH:1]1=[C:2]([C:3](=[O:4])[O:5][CH3:6])[N:12]([C:13]#[N:14])[O:11][N:10]1[C:8]([CH3:7])=[O:9],water,298.15,-89.93519873581624,-8.296552505313636,-86.24608855600258,-7.4052106771988475,-73.53875204970079,4.448203779343317
24,28,[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][NH2:7].[CH3:8][CH-:9][O+:10]=[C:11]([CH3:12])[C:13]#[N:14]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([NH2:7])[CH:9]([CH3:8])[O:10][C:11]1([CH3:12])[C:13]#[N:14],water,298.15,-103.08650903533523,-4.382490398831051,-98.81593667651433,-3.0850227733931317,-82.94150480480255,10.280540049435967
25,29,[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][NH2:7].[CH3:8][CH-:9][O+:10]=[C:11]([CH3:12])[C:13]#[N:14]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([NH2:7])[C:11]([CH3:12])([C:13]#[N:14])[O:10][CH:9]1[CH3:8],water,298.15,-100.79239652159727,-5.344355118511208,-96.580392601576,-4.292547559782621,-81.2295495032299,9.212779409583456
26,30,[CH:1]1=[CH:2][CH:3]2[CH2:4][CH2:5][CH:6]1[CH2:7]2.[CH:8]#[N+:9][CH-:10][C:11](=[O:12])[O:13][CH3:14]>>[CH:1]12[CH:2]([CH:3]3[CH2:4][CH2:5][CH:6]1[CH2:7]3)[CH:10]([C:11](=[O:12])[O:13][CH3:14])[N:9]=[CH:8]2,water,298.15,-76.08962011199978,0.4798408070965435,-70.65018662898174,1.1843711037801146,-57.15726897981459,12.68209899042414
27,31,[CH3:1]/[C:2]([F:3])=[C:4](\[CH3:5])[F:6].[CH3:7][C:8](=[O:9])[N-:10][N+:11]#[C:12][C:13]#[N:14]>>[CH3:1][C@@:2]1([F:3])[C@:4]([CH3:5])([F:6])[N:10]([C:8]([CH3:7])=[O:9])[N:11]=[C:12]1[C:13]#[N:14],water,298.15,-65.94206902543289,9.18517620172905,-63.07315750189126,9.103597747151857,-48.10733943574076,21.010449656942672
28,32,[CH3:6][O:7][C:8](=[O:9])[N-:10][O+:11]=[C:12]([CH3:13])[CH3:14].[CH:1]#[C:2][C:3]([CH3:4])=[O:5]>>[CH:1]1=[C:2]([C:3]([CH3:4])=[O:5])[N:10]([C:8]([O:7][CH3:6])=[O:9])[O:11][C:12]1([CH3:13])[CH3:14],water,298.15,-62.33067732863488,6.871144027167745,-58.3955883497643,7.627078758934461,-44.308526336390486,20.107811511183016
29,33,[CH3:6][O:7][C:8](=[O:9])[N-:10][O+:11]=[C:12]([CH3:13])[CH3:14].[CH:1]#[C:2][C:3]([CH3:4])=[O:5]>>[CH:1]1=[C:2]([C:3]([CH3:4])=[O:5])[C:12]([CH3:13])([CH3:14])[O:11][N:10]1[C:8]([O:7][CH3:6])=[O:9],water,298.15,-68.53408413192733,4.926207905323051,-64.5218582115064,5.823182957464445,-51.167944348720496,18.05668151197062
30,34,[CH3:1][O:2][C:3](=[O:4])[C:5]#[C:6][F:7].[CH3:8][C:9]#[N+:10][C-:11]([C:12]#[N:13])[C:14]#[N:15]>>[CH3:1][O:2][C:3](=[O:4])[C:5]1=[C:6]([F:7])[C:9]([CH3:8])=[N:10][C:11]1([C:12]#[N:13])[C:14]#[N:15],water,298.15,-83.34198743992657,4.695734343123324,-80.44154956435497,4.817133008618448,-65.23115469978869,17.918043329459735
31,35,[CH3:1][O:2][C:3](=[O:4])[C:5]#[C:6][F:7].[CH3:8][C:9]#[N+:10][C-:11]([C:12]#[N:13])[C:14]#[N:15]>>[CH3:1][O:2][C:3](=[O:4])[C:5]1=[C:6]([F:7])[C:11]([C:12]#[N:13])([C:14]#[N:15])[N:10]=[C:9]1[CH3:8],water,298.15,-79.07772547350716,5.074898157738483,-76.10799307927319,5.087273170311232,-61.24718462527266,17.645399883593914
32,36,[CH3:10][C:11]([CH3:12])=[O+:13][NH-:14].[CH3:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[CH3:1][C:2]12[C:3]([F:4])([CH:5]3[CH:6]=[CH:7][CH:8]1[O:9]3)[NH:14][O:13][C:11]2([CH3:10])[CH3:12],water,298.15,-74.59099320090532,-1.198760841269709,-70.5821397519683,-0.16092320308262836,-55.214587272277356,12.396244470703607
33,37,[CH3:10][C:11]([CH3:12])=[O+:13][NH-:14].[CH3:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[CH3:1][C:2]12[C:3]([F:4])([CH:5]3[CH:6]=[CH:7][CH:8]1[O:9]3)[C:11]([CH3:10])([CH3:12])[O:13][NH:14]2,water,298.15,-74.18682627132964,0.15370091558135404,-70.12801047693533,1.0368040143139887,-54.92803846375578,13.035463990655396
34,38,[CH3:10][C:11]([CH3:12])=[O+:13][NH-:14].[CH3:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[CH3:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]3[CH:7]([CH:8]1[O:9]2)[C:11]([CH3:10])([CH3:12])[O:13][NH:14]3,water,298.15,-75.13983118470131,-1.4441226931765136,-70.49487084169566,-0.42296286928894633,-56.47809609143014,11.427268394409834
35,39,[CH3:10][C:11]([CH3:12])=[O+:13][NH-:14].[CH3:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[CH3:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]3[CH:7]([CH:8]1[O:9]2)[NH:14][O:13][C:11]3([CH3:10])[CH3:12],water,298.15,-77.42478770765236,2.2685308350256874,-72.52478425192594,3.3028821380715736,-58.379101891299506,15.219124659720332
36,40,[CH2-:4][NH+:5]=[C:6]([C:7](=[O:8])[NH:9][CH3:10])[C:11](=[O:12])[NH:13][CH3:14].[CH:1]#[C:2][NH2:3]>>[CH:1]1=[C:2]([NH2:3])[C:6]([C:7](=[O:8])[NH:9][CH3:10])([C:11](=[O:12])[NH:13][CH3:14])[NH:5][CH2:4]1,water,298.15,-65.2294215760445,2.461533296400475,-61.29483362337628,2.9927583873638017,-48.898825974426686,14.346590822997346
37,41,[CH2-:4][NH+:5]=[C:6]([C:7](=[O:8])[NH:9][CH3:10])[C:11](=[O:12])[NH:13][CH3:14].[CH:1]#[C:2][NH2:3]>>[CH:1]1=[C:2]([NH2:3])[CH2:4][NH:5][C:6]1([C:7](=[O:8])[NH:9][CH3:10])[C:11](=[O:12])[NH:13][CH3:14],water,298.15,-69.5881921167017,5.058416621347162,-65.60180762856577,5.928623491921663,-53.13014466329538,17.20894783513044
38,42,[CH3:1][C:2]#[C:3][C:4]([F:5])([F:6])[F:7].[CH3:8][c-:9]1[o+:10][n:11][o:12][c:13]1=[O:14]>>[CH3:1][C:2]1=[C:3]([C:4]([F:5])([F:6])[F:7])[C:9]2([CH3:8])[O:10][N:11]1[O:12][C:13]2=[O:14],water,298.15,-43.20635785939506,7.5823274970973085,-40.96711717315736,7.948623821557767,-27.211327890893727,20.551995826465866
39,46,[N:1]#[C:2][C:3]#[C:4][NH2:5].[N:6]#[C:7][CH-:8][N+:9]#[C:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[N:1]#[C:2][C:3]1=[C:4]([NH2:5])[CH:8]([C:7]#[N:6])[N:9]=[C:10]1[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,water,298.15,-92.111643183098,1.263979155929168,-87.8065701473902,2.4324725608237316,-72.07285150556177,15.713349182890255
40,47,[N:1]#[C:2][C:3]#[C:4][NH2:5].[N:6]#[C:7][CH-:8][N+:9]#[C:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[N:1]#[C:2][C:3]1=[C:4]([NH2:5])[C:10]([c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)=[N:9][CH:8]1[C:7]#[N:6],water,298.15,-87.98100245664345,1.7501458860510857,-83.7432278086261,2.8768708869624704,-68.25632333721158,16.029807752881517
41,49,[CH3:5][NH:6][C:7](=[O:8])[C:9]#[N+:10][C-:11]([CH3:12])[C:13]#[N:14].[NH2:1][C:2]#[C:3][Cl:4]>>[NH2:1][C:2]1=[C:3]([Cl:4])[C:11]([CH3:12])([C:13]#[N:14])[N:10]=[C:9]1[C:7]([NH:6][CH3:5])=[O:8],water,298.15,-99.01906729814858,5.81220735704794,-95.53582620052043,6.490267150350918,-80.95214820885647,18.71052914387171
42,50,[CH2-:8][O+:9]=[C:10]([C:11]#[N:12])[C:13]([CH3:14])=[O:15].[CH3:1][C:2]#[C:3][C:4](=[O:5])[O:6][CH3:7]>>[CH3:1][C:2]1=[C:3]([C:4](=[O:5])[O:6][CH3:7])[CH2:8][O:9][C:10]1([C:11]#[N:12])[C:13]([CH3:14])=[O:15],water,298.15,-80.58871871393619,-4.159839997336649,-77.12817470585144,-3.320294141749062,-63.09711675674947,9.208923690716233
43,51,[CH2-:8][O+:9]=[C:10]([C:11]#[N:12])[C:13]([CH3:14])=[O:15].[CH3:1][C:2]#[C:3][C:4](=[O:5])[O:6][CH3:7]>>[CH3:1][C:2]1=[C:3]([C:4](=[O:5])[O:6][CH3:7])[C:10]([C:11]#[N:12])([C:13]([CH3:14])=[O:15])[O:9][CH2:8]1,water,298.15,-80.27760390917354,-3.1924375064709083,-77.11768195845312,-2.2913207490464114,-62.66494318286346,11.3613455186223
44,52,[CH3:7][CH:8]=[NH+:9][N-:10][C:11](=[O:12])[NH:13][CH3:14].[NH2:1][C:2]([NH2:3])=[C:4]([F:5])[F:6]>>[NH2:1][C:2]1([NH2:3])[C:4]([F:5])([F:6])[N:10]([C:11](=[O:12])[NH:13][CH3:14])[NH:9][CH:8]1[CH3:7],water,298.15,-40.17223911068587,17.83321998130309,-36.84909278348372,18.637758384188952,-22.610988057994746,31.71622466991744
45,53,[CH3:7][CH:8]=[NH+:9][N-:10][C:11](=[O:12])[NH:13][CH3:14].[NH2:1][C:2]([NH2:3])=[C:4]([F:5])[F:6]>>[NH2:1][C:2]1([NH2:3])[C:4]([F:5])([F:6])[CH:8]([CH3:7])[NH:9][N:10]1[C:11](=[O:12])[NH:13][CH3:14],water,298.15,-39.968114043799034,5.254171339346858,-36.390422150776416,5.894467312451952,-21.070568110149107,18.837759876672486
46,54,[CH3:10][C:11](=[O:12])[C:13]#[N+:14][O-:15].[CH3:1][C:2]1=[C:3]([NH2:4])[CH:5]2[CH2:6][CH2:7][CH:8]1[CH2:9]2>>[CH3:1][C:2]12[C:3]([NH2:4])([CH:5]3[CH2:6][CH2:7][CH:8]1[CH2:9]3)[O:15][N:14]=[C:13]2[C:11]([CH3:10])=[O:12],water,298.15,-54.866553163693006,-0.2608155278060322,-51.98668953299596,0.13773290893574658,-37.044566820947885,11.875463145605403
47,55,[CH3:10][C:11](=[O:12])[C:13]#[N+:14][O-:15].[CH3:1][C:2]1=[C:3]([NH2:4])[CH:5]2[CH2:6][CH2:7][CH:8]1[CH2:9]2>>[CH3:1][C:2]12[C:3]([NH2:4])([CH:5]3[CH2:6][CH2:7][CH:8]1[CH2:9]3)[C:13]([C:11]([CH3:10])=[O:12])=[N:14][O:15]2,water,298.15,-51.24641335723309,12.101017572234532,-48.22176178357542,12.456284429554369,-33.176243966394246,25.503559657223786
48,56,[CH3:1][C:2]#[C:3][F:4].[CH3:5][O:6][C:7](=[O:8])[C-:9]([C:10]#[N:11])[O+:12]=[C:13]([CH3:14])[CH3:15]>>[CH3:1][C:2]1=[C:3]([F:4])[C:9]([C:7]([O:6][CH3:5])=[O:8])([C:10]#[N:11])[O:12][C:13]1([CH3:14])[CH3:15],water,298.15,-83.53170802671677,7.069165309459366,-80.21673441190285,7.673098249164953,-67.42671176890343,19.05139380688601
49,57,[CH3:1][C:2]#[C:3][F:4].[CH3:5][O:6][C:7](=[O:8])[C-:9]([C:10]#[N:11])[O+:12]=[C:13]([CH3:14])[CH3:15]>>[CH3:1][C:2]1=[C:3]([F:4])[C:13]([CH3:14])([CH3:15])[O:12][C:9]1([C:7]([O:6][CH3:5])=[O:8])[C:10]#[N:11],water,298.15,-86.54760327289371,4.36805140579298,-83.06852777338267,4.959032654536168,-70.15512588843889,16.013833656619067
50,58,[CH3:10][C:11](=[O:12])[N:13]=[NH+:14][O-:15].[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][C:7]([CH3:8])=[O:9]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([C:7]([CH3:8])=[O:9])[N:13]([C:11]([CH3:10])=[O:12])[NH:14][O:15]1,water,298.15,-40.511266791744404,16.65483562777381,-38.01844222730744,17.039493094118257,-23.511089891644364,30.5271359177615
51,59,[CH3:10][C:11](=[O:12])[N:13]=[NH+:14][O-:15].[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][C:7]([CH3:8])=[O:9]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([C:7]([CH3:8])=[O:9])[O:15][NH:14][N:13]1[C:11]([CH3:10])=[O:12],water,298.15,-42.051366431494095,16.911826485261972,-39.6016610351045,17.30355836787846,-24.04172169829284,31.101971678928233
52,60,[CH3:9][CH:10]=[O+:11][CH-:12][C:13]([CH3:14])=[O:15].[F:1][C:2]1=[CH:3][CH:4]2[CH:5]=[CH:6][CH:7]1[O:8]2>>[F:1][C:2]1=[CH:3][CH:4]2[CH:5]3[CH:6]([CH:7]1[O:8]2)[CH:12]([C:13]([CH3:14])=[O:15])[O:11][CH:10]3[CH3:9],water,298.15,-81.78838254120646,-2.785668295160726,-77.16550001164258,-1.6938927419613024,-62.71870346627579,11.138215597379675
53,61,[CH3:9][CH:10]=[O+:11][CH-:12][C:13]([CH3:14])=[O:15].[F:1][C:2]1=[CH:3][CH:4]2[CH:5]=[CH:6][CH:7]1[O:8]2>>[F:1][C:2]1=[CH:3][CH:4]2[CH:5]3[CH:6]([CH:7]1[O:8]2)[CH:10]([CH3:9])[O:11][CH:12]3[C:13]([CH3:14])=[O:15],water,298.15,-91.22597066377595,-3.4345676846622193,-86.56444045236826,-2.3980143393977023,-73.41291624208282,9.381346698999979
54,62,[CH3:9][CH:10]=[O+:11][CH-:12][C:13]([CH3:14])=[O:15].[F:1][C:2]1=[CH:3][CH:4]2[CH:5]=[CH:6][CH:7]1[O:8]2>>[F:1][C:2]12[CH:3]([CH:4]3[CH:5]=[CH:6][CH:7]1[O:8]3)[CH:10]([CH3:9])[O:11][CH:12]2[C:13]([CH3:14])=[O:15],water,298.15,-85.21425859217557,-4.843064154975599,-80.95737876525368,-3.91663647247351,-66.58598221724517,8.471905603499259
55,64,[CH3:5][C:6]([c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)=[N+:13]([CH3:14])[O-:15].[NH2:1]/[CH:2]=[CH:3]\[NH2:4]>>[NH2:1][C@@H:2]1[C@H:3]([NH2:4])[O:15][N:13]([CH3:14])[C:6]1([CH3:5])[c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1,water,298.15,-16.249497765489522,17.39911269221773,-13.299289599423114,18.099358246572095,1.6908953115024865,31.83522026728081
56,67,[CH:5]#[N+:6][C-:7]([C:8]([CH3:9])=[O:10])[C:11](=[O:12])[NH:13][CH3:14].[NH2:1][C:2]#[C:3][Cl:4]>>[NH2:1][C:2]1=[C:3]([Cl:4])[C:7]([C:8]([CH3:9])=[O:10])([C:11](=[O:12])[NH:13][CH3:14])[N:6]=[CH:5]1,water,298.15,-91.93067572592106,5.520560406142913,-87.88258746835749,6.302238421573998,-73.87138293016125,17.54276877500833
57,68,[CH:5]#[N+:6][C-:7]([C:8]([CH3:9])=[O:10])[C:11](=[O:12])[NH:13][CH3:14].[NH2:1][C:2]#[C:3][Cl:4]>>[NH2:1][C:2]1=[C:3]([Cl:4])[CH:5]=[N:6][C:7]1([C:8]([CH3:9])=[O:10])[C:11](=[O:12])[NH:13][CH3:14],water,298.15,-91.35070323201643,6.734028814518895,-87.39720302667628,7.165762367520513,-73.68519563799673,18.827571195205365
58,69,[CH2-:12][N+:13]#[C:14][CH3:15].[CH3:1][O:2][C:3](=[O:4])[C:5]1=[CH:6][CH:7]2[CH2:8][CH2:9][CH:10]1[CH2:11]2>>[CH3:1][O:2][C:3](=[O:4])[C:5]12[CH:6]([CH:7]3[CH2:8][CH2:9][CH:10]1[CH2:11]3)[C:14]([CH3:15])=[N:13][CH2:12]2,water,298.15,-78.80203671627618,-4.939957265394295,-74.429926721361,-4.70661206907718,-60.43166391533752,6.415957409353539
59,70,[CH2-:12][N+:13]#[C:14][CH3:15].[CH3:1][O:2][C:3](=[O:4])[C:5]1=[CH:6][CH:7]2[CH2:8][CH2:9][CH:10]1[CH2:11]2>>[CH3:1][O:2][C:3](=[O:4])[C:5]12[CH:6]([CH:7]3[CH2:8][CH2:9][CH:10]1[CH2:11]3)[CH2:12][N:13]=[C:14]2[CH3:15],water,298.15,-77.2795587975593,-4.286711745294831,-72.68481725120373,-4.082610873507757,-58.62051556768857,7.586041208705088
60,71,[CH3:1][C:2](=[O:3])[C:4]#[C:5][NH2:6].[CH3:7][O:8][C:9](=[O:10])[C:11]#[N+:12][C-:13]([CH3:14])[CH3:15]>>[CH3:1][C:2](=[O:3])[C:4]1=[C:5]([NH2:6])[C:11]([C:9]([O:8][CH3:7])=[O:10])=[N:12][C:13]1([CH3:14])[CH3:15],water,298.15,-89.8396271604994,2.264444493313511,-85.81249593816736,3.053175900675305,-68.89966742504149,15.911850638115181
61,72,[CH3:1][C:2](=[O:3])[C:4]#[C:5][NH2:6].[CH3:7][O:8][C:9](=[O:10])[C:11]#[N+:12][C-:13]([CH3:14])[CH3:15]>>[CH3:1][C:2](=[O:3])[C:4]1=[C:5]([NH2:6])[C:13]([CH3:14])([CH3:15])[N:12]=[C:11]1[C:9]([O:8][CH3:7])=[O:10],water,298.15,-95.98599523508797,7.163677021354029,-91.95606072258649,7.952515952497066,-75.43441608391831,21.417571045659876
